"";"ID";"Fund";"Strategy";"Time.Days";"Expected.Yield.Year"
"18";"BB-0021";"BB AÇÕES EXPORTAÇÃO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;37;20,88
"19";"BB-0022";"BB AÇÕES GOVERNANÇA IS FUNDO DE INVESTIMENTO";3;40;20,76
"20";"BB-0023";"BB AÇÕES IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;31;16,18
"21";"BB-0024";"BB TOP AÇÕES INFRAESTRUTURA FUNDO DE INVESTIMENTO DE AÇÕES";3;34;18,75
"22";"BB-0025";"BB AÇÕES PETROBRAS I FUNDO DE INVESTIMENTO";3;22;35,02
"23";"BB-0027";"BB AÇÕES SELEÇÃO FATORIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;35;23,91
"24";"BB-0028";"BB TOP AÇÕES SETOR FINANCEIRO FUNDO DE INVESTIMENTO";1;23;17,33
"25";"BB-0029";"BB AÇÕES SIDERURGIA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;33;48,31
"26";"BB-0030";"BB AÇÕES SMALL CAPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;38;26,19
"27";"BB-0031";"BB AÇÕES SUSTENTABILIDADE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES";1;31;11,7
"28";"BB-0032";"BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO";1;24;17,3
"29";"BB-0033";"BB  AÇÕES US BIOTECH BDR NÍVEL I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;35;25,99
"30";"BB-0034";"BB CAMBIAL DOLAR LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;20;32,9
"31";"BB-0035";"BB CAMBIAL EURO LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;31;5,31
"32";"BB-0038";"BB MULTIMERCADO CARBONO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;9;12,67
"33";"BB-0039";"BB MULTIMERCADO DINÂMICO LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;39;7,96
"34";"BB-0043";"BB MULTIMERCADO LP JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;15;8,56
"35";"BB-0044";"BB MULTIMERCADO MACRO LP FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;13;11,43
"36";"BB-0045";"BB MULTIMERCADO MULTIGESTOR  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";1;39;7,6
"37";"BB-0046";"BB MULTIMERCADO OURO FUNDO DE INVESTIMENTO";1;17;8,1
"38";"BB-0050";"BB RENDA FIXA LONGO PRAZO HIGH FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO";3;7;6,27
